Task ID,Book,Lane,Sequential,Depends On,Title,Commit Message,File Ceiling,Line Ceiling,Status,Commit SHA,Notes
CR-V2-B1-014,1,P-B,false,CR-V2-B1-013,Materialize the supplied Cutaway and Finish artefacts as provenance,CR-V2-B1-014: materialize-the-supplied-cutaway-and-finish-artefacts-as-p,80,30000,done,182aa8f4beec35a7549fd559be9555c3dbded58a,
CR-V2-B1-015,1,P-B,false,CR-V2-B1-014,Adapt the permitted Vox Director material,CR-V2-B1-015: adapt-the-permitted-vox-director-material,180,50000,done,cf4e7b9773f7bdbe262c15c36f7db3f6550c3e33,
CR-V2-B1-016,1,P-B,false,CR-V2-B1-015,Write clean-room AutoShorts behavior specifications,CR-V2-B1-016: write-clean-room-autoshorts-behavior-specifications,20,6000,done,ba3b8b9283c989ec6601d2991f84991534363ada,
CR-V2-B1-017,1,P-C,false,CR-V2-B1-006,Write clean-room Palmier behavior specifications,CR-V2-B1-017: write-clean-room-palmier-behavior-specifications,24,8000,done,00ff93206cadafeb098db2b366c16f5528a15596,
CR-V2-B1-018,1,P-C,false,CR-V2-B1-017,Adapt the workspace bounded-run compiler and monitor concepts,CR-V2-B1-018: adapt-the-workspace-bounded-run-compiler-and-monitor-conce,60,12000,done,732dc8435ce7619949ab1e328d888961d10d2aba,
CR-V2-B1-019,1,P-C,false,CR-V2-B1-018,"Adapt skill topology, catalogue integrity, and evaluation fixtures",CR-V2-B1-019: adapt-skill-topology-catalogue-integrity-and-evaluation-fi,100,25000,done,c02bc7f2d03767931d8d8c66562d949a07d6c241,
CR-V2-B1-020,1,P-C,false,CR-V2-B1-019,Adapt the evidence gauntlet as an optional local hardening lane,CR-V2-B1-020: adapt-the-evidence-gauntlet-as-an-optional-local-hardening,60,15000,done,7e353153949f9ce44ba9a51abe1cf8bbaa6246ed,
CR-V2-B1-021,1,P-C,false,CR-V2-B1-020,Classify Remotion and HyperFrames and freeze the native migration contract,CR-V2-B1-021: classify-remotion-and-hyperframes-and-freeze-the-native-mi,8,1400,done,4b56d8ae575b1679209d0469831dd252f7615f46,
CR-V2-B1-022,1,S,true,CR-V2-B1-011; CR-V2-B1-016; CR-V2-B1-021,Create third-party notices and corresponding-source archive scaffolds,CR-V2-B1-022: create-third-party-notices-and-corresponding-source-archiv,8,1400,done,a60ce0b99ee8b74a14c2b846d2209042952f69c6,
CR-V2-B1-023,1,S,true,CR-V2-B1-022,Merge the three Book 1 lanes in deterministic order,CR-V2-B1-023: merge-the-three-book-1-lanes-in-deterministic-order,1,400,done,5dcadc391df8313a8afa538d6f5956d7883b76f9,
CR-V2-B1-024,1,S,true,CR-V2-B1-023,Compile the embedded skill catalogue and complete closure report,CR-V2-B1-024: compile-the-embedded-skill-catalogue-and-complete-closure-,4,12000,done,bc55b36a68cc5ce1bef7c2a9278a022c8178478a,
CR-V2-B1-025,1,S,true,CR-V2-B1-024,Enforce zero unresolved licence and provenance rows for Book 1 outputs,CR-V2-B1-025: enforce-zero-unresolved-licence-and-provenance-rows-for-bo,8,1400,done,f6e2a48cf22c25a1453da3e13581a42dc285cc84,
CR-V2-B1-026,1,S,true,CR-V2-B1-025,Prove the source tree has no runtime dependency on another checkout,CR-V2-B1-026: prove-the-source-tree-has-no-runtime-dependency-on-another,8,1400,done,b060b902e5e889dff60db8a62e79f9999c4b0b78,
CR-V2-B1-027,1,S,true,CR-V2-B1-026,Run focused Book 1 validation and the authoritative local gate,CR-V2-B1-027: run-focused-book-1-validation-and-the-authoritative-local-,3,1800,done,294f7882b749153b4c6fe9d6e9dc39f01aac5e0e,
CR-V2-B2-001,2,S,true,Book 1 final gate,"Freeze stable identifiers, rational time, and revision semantics",CR-V2-B2-001: freeze-stable-identifiers-rational-time-and-revision-seman,8,1400,done,27d5682fe956e95b01b55c286920a5c8a51ac35a,
CR-V2-B2-002,2,S,true,CR-V2-B2-001,Freeze the capability and action schema vocabulary,CR-V2-B2-002: freeze-the-capability-and-action-schema-vocabulary,8,1400,done,67f9d2f092ccf0857664d0420de12563ebd76f3a,
CR-V2-B2-003,2,S,true,CR-V2-B2-002,"Freeze transactional apply, inverse action, and failure semantics",CR-V2-B2-003: freeze-transactional-apply-inverse-action-and-failure-sema,8,1400,done,e2dc65f068babc36d12056ac3c46947d7e369103,
CR-V2-B2-004,2,S,true,CR-V2-B2-003,"Freeze permissions, skill boundaries, and session write guards",CR-V2-B2-004: freeze-permissions-skill-boundaries-and-session-write-guar,8,1400,done,1a7aa2785068bd3d9d9736a955610f90a78397c3,
CR-V2-B2-005,2,S,true,CR-V2-B2-004,Freeze semantic dry-run and diff output,CR-V2-B2-005: freeze-semantic-dry-run-and-diff-output,8,1400,done,64579c4874ef7c2dc8b6ec90e5ab24f35d87ae71,
CR-V2-B2-006,2,S,true,CR-V2-B2-005,Freeze Book 2 crate boundaries and parallel ownership,CR-V2-B2-006: freeze-book-2-crate-boundaries-and-parallel-ownership,8,1400,done,50f76d5b10323d40bdaca72dbc0b05e3d41dd22e,
CR-V2-B2-007,2,P-A,false,CR-V2-B2-006,Implement the typed Action enum and stable target references,CR-V2-B2-007: implement-the-typed-action-enum-and-stable-target-referenc,8,1400,done,a916b50415d4426c7ecda4c42da04b4cf9bbb16e,
CR-V2-B2-008,2,P-A,false,CR-V2-B2-007,Implement semantic action validation,CR-V2-B2-008: implement-semantic-action-validation,8,1400,done,7d6406de63b8838622e0066c1f76dfdce1ff756f,
CR-V2-B2-009,2,P-A,false,CR-V2-B2-008,Implement semantic dry-run and stable diff generation,CR-V2-B2-009: implement-semantic-dry-run-and-stable-diff-generation,8,1400,done,a44e0791aa95d43e972fddf763985da7172f221a,
CR-V2-B2-010,2,P-A,false,CR-V2-B2-009,Implement atomic transaction apply and revision commit,CR-V2-B2-010: implement-atomic-transaction-apply-and-revision-commit,8,1800,done,5e303c431d165155bc40d7cf84ddc49d69758198,
CR-V2-B2-011,2,P-A,false,CR-V2-B2-010,Implement inverse batches and undo/redo,CR-V2-B2-011: implement-inverse-batches-and-undo-redo,8,1400,done,fb769f0c635df5fc5fbba49c5ee0252302e1a7f2,
CR-V2-B2-012,2,P-B,false,CR-V2-B2-006,Implement the capability registry model and validator,CR-V2-B2-012: implement-the-capability-registry-model-and-validator,8,1400,done,669d4eaeca1fa959588b441bcb9ee25cbbf3145d,
CR-V2-B2-013,2,P-B,false,CR-V2-B2-012,Create the canonical source capability registry,CR-V2-B2-013: create-the-canonical-source-capability-registry,100,20000,done,ff45e7158df455a911fa40de46d0cba0feb52431,
CR-V2-B2-014,2,P-B,false,CR-V2-B2-013,"Generate Rust, TypeScript, CLI, and tool bindings from the registry",CR-V2-B2-014: generate-rust-typescript-cli-and-tool-bindings-from-the-re,20,18000,done,0ed1f8c44f854eaca35ea9b753a06f55838a1426,
CR-V2-B2-015,2,P-B,false,CR-V2-B2-014,Integrate the compiled skill catalogue into the capability registry,CR-V2-B2-015: integrate-the-compiled-skill-catalogue-into-the-capability,8,1400,done,3e57a056261fbbfdb3f15893666785dd39eae6f5,
CR-V2-B2-016,2,P-B,false,CR-V2-B2-015,Add capability registry drift and documentation generation,CR-V2-B2-016: add-capability-registry-drift-and-documentation-generation,8,1400,done,6105e935b89d4909b9a799284654530b57dab549,
CR-V2-B2-017,2,P-C,false,CR-V2-B2-006,Implement immutable project revision storage,CR-V2-B2-017: implement-immutable-project-revision-storage,8,1400,done,4391293d57863ab7a6e214e4bd2f5498bd41b1be,
CR-V2-B2-018,2,P-C,false,CR-V2-B2-017,Implement project write locks and session bindings,CR-V2-B2-018: implement-project-write-locks-and-session-bindings,8,1400,done,dda9a863258060276e1825344f3d2ec6bcda8b82,
CR-V2-B2-019,2,P-C,false,CR-V2-B2-018,"Implement append-only action, decision, and audit logs",CR-V2-B2-019: implement-append-only-action-decision-and-audit-logs,8,1400,done,292a21930ea87a51b9c3c7a103b57d03bc7100c1,
CR-V2-B2-020,2,P-C,false,CR-V2-B2-019,Implement versioned project migrations with backups and dry-run,CR-V2-B2-020: implement-versioned-project-migrations-with-backups-and-dr,14,2400,done,0786102dd47b8491ff0c66d35a4ea5590917a874,
CR-V2-B2-021,2,P-C,false,CR-V2-B2-020,"Create cross-crate contract fixtures for state, actions, and capabilities",CR-V2-B2-021: create-cross-crate-contract-fixtures-for-state-actions-and,180,40000,done,cfb3c8bd2086d2ddd60ab714c8da988252632113,
CR-V2-B2-022,2,S,true,CR-V2-B2-011; CR-V2-B2-016; CR-V2-B2-021,Merge Book 2 lanes and scaffold the single ActionExecutor,CR-V2-B2-022: merge-book-2-lanes-and-scaffold-the-single-actionexecutor,8,1600,done,698121df67162781d2edb1b413ddfdc81d28cd5a,
CR-V2-B2-023,2,S,true,CR-V2-B2-022,Expose the executor through the JSON CLI without duplicating logic,CR-V2-B2-023: expose-the-executor-through-the-json-cli-without-duplicati,8,1400,done,5ef55489f9689cd1c0f1457ac20892c76252389a,
CR-V2-B2-024,2,S,true,CR-V2-B2-023,Expose the executor to the Studio backend,CR-V2-B2-024: expose-the-executor-to-the-studio-backend,8,1400,done,a8df52520d4c8036e26e3a7e0b30e990b1bbfb02,
CR-V2-B2-025,2,S,true,CR-V2-B2-024,Expose the same executor through an optional loopback MCP adapter,CR-V2-B2-025: expose-the-same-executor-through-an-optional-loopback-mcp-,8,1400,done,87671aec92083f119bf696251a895a22b2fa5d4b,
CR-V2-B2-026,2,S,true,CR-V2-B2-025,Run cross-surface transaction and contract tests,CR-V2-B2-026: run-cross-surface-transaction-and-contract-tests,4,1400,done,5f8ce01f4fbb0833b7b30c46dbf3eade94a911e5,
CR-V2-B2-027,2,S,true,CR-V2-B2-026,Run the authoritative Book 2 local gate and freeze evidence,CR-V2-B2-027: run-the-authoritative-book-2-local-gate-and-freeze-evidenc,2,1200,done,8c190fca8e8e32e6e2be82d40ab1d02f8da3b0c9,
CR-V2-B3-001,3,S,true,Book 2 final gate,"Freeze runtime pack, lock, signature, and compatibility schemas",CR-V2-B3-001: freeze-runtime-pack-lock-signature-and-compatibility-schem,8,1400,done,6cbda4fe500719f22b6e45e35eca9e08a320eb80,
CR-V2-B3-002,3,S,true,CR-V2-B3-001,Freeze the hierarchical evidence graph schema,CR-V2-B3-002: freeze-the-hierarchical-evidence-graph-schema,8,1400,done,371be2a197ffa0c84c69d4cb3e2b7e007794a79b,
CR-V2-B3-003,3,S,true,CR-V2-B3-002,"Freeze job DAG, fingerprint, resume, retry, and cancellation schemas",CR-V2-B3-003: freeze-job-dag-fingerprint-resume-retry-and-cancellation-s,8,1400,done,c7889c2e7b8370710c60ae4e46c2f8612e9f7aa9,
CR-V2-B3-004,3,S,true,CR-V2-B3-003,Freeze resource budgets and degradation policies,CR-V2-B3-004: freeze-resource-budgets-and-degradation-policies,8,1400,done,fcc9a0e09ba142dc36c660716bf3f38df1fd0a6a,
CR-V2-B3-005,3,S,true,CR-V2-B3-004,"Freeze pack install, activation, repair, rollback, and offline-only resolution",CR-V2-B3-005: freeze-pack-install-activation-repair-rollback-and-offline,8,1400,done,2fd86347e30944d2cfef05b6ff07984fadc9cb07,
CR-V2-B3-006,3,S,true,CR-V2-B3-005,Freeze Book 3 pack/evidence/job crate boundaries and lane ownership,CR-V2-B3-006: freeze-book-3-pack-evidence-job-crate-boundaries-and-lane-,8,1400,done,a33e24c7a8acb328609fafe75db116b23a776207,
CR-V2-B3-007,3,P-A,false,CR-V2-B3-006,Build the LGPL-only FFmpeg 8.1 media pack pipeline,CR-V2-B3-007: build-the-lgpl-only-ffmpeg-8-1-media-pack-pipeline,60,30000,done,66ac3d2c2d35a364c25fa08bae4041f3ee9f24b9,
CR-V2-B3-008,3,P-A,false,CR-V2-B3-007,Integrate vendored HeardRight as a CutRight speech component,CR-V2-B3-008: integrate-vendored-heardright-as-a-cutright-speech-compone,40,12000,done,9e2cfd2f8492159a3046a85b2742af472e7a726c,
CR-V2-B3-009,3,P-A,false,CR-V2-B3-008,Build the Parakeet primary ASR model pack,CR-V2-B3-009: build-the-parakeet-primary-asr-model-pack,30,6000,done,2d981b5ec93a35e80920d62a103946d57e01060f,
CR-V2-B3-010,3,P-A,false,CR-V2-B3-009,Build the Silero VAD model pack and parity suite,CR-V2-B3-010: build-the-silero-vad-model-pack-and-parity-suite,8,1400,done,0b25d0d398ec92bb3a10f55ff95e5c0ded74f76c,
CR-V2-B3-011,3,P-A,false,CR-V2-B3-010,Build whisper.cpp v1.9.2 as an independent speech-quality pack,CR-V2-B3-011: build-whisper-cpp-v1-9-2-as-an-independent-speech-quality-,8,1400,done,cd74eaaad5f7bc6a8b82e895b081896750047d5c,
CR-V2-B3-012,3,P-B,false,CR-V2-B3-006,Vendor and build the pinned llama.cpp inference runtime,CR-V2-B3-012: vendor-and-build-the-pinned-llama-cpp-inference-runtime,80,24000,done,6a415e2115085926d5164ab7f9bfffd3dd287d71,
CR-V2-B3-013,3,P-B,false,CR-V2-B3-012,Build the Qwen3-4B Director model pack,CR-V2-B3-013: build-the-qwen3-4b-director-model-pack,30,7000,done,53b845765a73e779a0df0807e891cd72898bce61,
CR-V2-B3-014,3,P-B,false,CR-V2-B3-013,Build the Qwen3-VL-4B independent visual critic pack,CR-V2-B3-014: build-the-qwen3-vl-4b-independent-visual-critic-pack,8,1400,done,1f21222f372551d75f472b6937c0e3514e8b75f8,
CR-V2-B3-015,3,P-B,false,CR-V2-B3-014,Qualify Qwen3.5-4B without making it a release dependency,CR-V2-B3-015: qualify-qwen3-5-4b-without-making-it-a-release-dependency,8,1400,done,6f6acb696a1c7ad56e6cde9fc38ae9314ffc3427,
CR-V2-B3-016,3,P-B,false,CR-V2-B3-015,Build the Kokoro local TTS and phonemizer pack,CR-V2-B3-016: build-the-kokoro-local-tts-and-phonemizer-pack,8,1400,done,219d83f1824ac413814c6d02eddc2e656497961c,
CR-V2-B3-017,3,P-C,false,CR-V2-B3-006,Implement deterministic scene and shot segmentation evidence,CR-V2-B3-017: implement-deterministic-scene-and-shot-segmentation-eviden,8,1400,done,cec30aa4c1630001388b7a338fde14aa7db95825,
CR-V2-B3-018,3,P-C,false,CR-V2-B3-017,"Implement face, pose, gesture, text, saliency, and motion tracks",CR-V2-B3-018: implement-face-pose-gesture-text-saliency-and-motion-track,30,6000,done,2936a4405aaf9cee844cfca17adc60b318d22691,
CR-V2-B3-019,3,P-C,false,CR-V2-B3-018,Implement the hierarchical evidence graph store,CR-V2-B3-019: implement-the-hierarchical-evidence-graph-store,8,1400,done,64a9545740b6ad3bba07e6ec4b4dae05de8e1225,
CR-V2-B3-020,3,P-C,false,CR-V2-B3-019,Implement bounded evidence retrieval and coarse-to-fine query planning,CR-V2-B3-020: implement-bounded-evidence-retrieval-and-coarse-to-fine-qu,8,1400,done,c2ef6defd8d29d6d02ac5e4eb585605dbce56346,
CR-V2-B3-021,3,P-C,false,CR-V2-B3-020,"Implement the content-addressed job DAG, cache, retry, resume, and cancellation",CR-V2-B3-021: implement-the-content-addressed-job-dag-cache-retry-resume,14,2600,done,51d4eb998755a3b021f97ddc0e8b7cd5f5c8f0db,
CR-V2-B3-022,3,S,true,CR-V2-B3-011; CR-V2-B3-016; CR-V2-B3-021,Merge Book 3 lanes and create the runtime/evidence/job service façade,CR-V2-B3-022: merge-book-3-lanes-and-create-the-runtime-evidence-job-ser,10,1800,done,43787e35173fdbb10c9c2667158c30c354ffdae3,
CR-V2-B3-023,3,S,true,CR-V2-B3-022,"Implement pack doctor, verification, and local repair commands",CR-V2-B3-023: implement-pack-doctor-verification-and-local-repair-comman,8,1400,done,943f705cabf15babb9a9be1035dfadbe6be451e8,
CR-V2-B3-024,3,S,true,CR-V2-B3-023,Replace every release runtime lookup with signed pack resolution,CR-V2-B3-024: replace-every-release-runtime-lookup-with-signed-pack-reso,16,2600,done,4c43c444b8ed2de41480e3909e956b78b260ccb0,
CR-V2-B3-025,3,S,true,CR-V2-B3-024,Run a network-blocked clean-path runtime smoke test,CR-V2-B3-025: run-a-network-blocked-clean-path-runtime-smoke-test,20,2000,done,02f99e8f722310dde51adb97d6a469f2cd166651,
CR-V2-B3-026,3,S,true,CR-V2-B3-025,"Run focused pack, evidence, and job recovery tests",CR-V2-B3-026: run-focused-pack-evidence-and-job-recovery-tests,1,1200,done,f364e60656b9d9ba28b944fa09e16b14277ad167,
CR-V2-B3-027,3,S,true,CR-V2-B3-026,Run the authoritative Book 3 local gate and freeze pack/evidence/job evidence,CR-V2-B3-027: run-the-authoritative-book-3-local-gate-and-freeze-pack-ev,2,1400,done,a9154a3d55942b1a2f667b1bdc1ecd93f4fd5715,
CR-V2-B4-001,4,S,true,Book 3 final gate,"Freeze the benchmark taxonomy, dataset split, and result schemas",CR-V2-B4-001: freeze-the-benchmark-taxonomy-dataset-split-and-result-sch,8,1400,done,f1ed42279e0d6b3bab7b129807ddaed24b631591,
CR-V2-B4-002,4,S,true,CR-V2-B4-001,Create the rights-bound golden project corpus manifest,CR-V2-B4-002: create-the-rights-bound-golden-project-corpus-manifest,220,50000,done,2b3c3d5c14dbcb2643db281fd3ccc9259d035eb8,
CR-V2-B4-003,4,S,true,CR-V2-B4-002,"Freeze metric definitions, units, aggregation, and release floors",CR-V2-B4-003: freeze-metric-definitions-units-aggregation-and-release-fl,8,1400,done,67bb8873e0a800637bc15efa9e193a357186779f,
CR-V2-B4-004,4,S,true,CR-V2-B4-003,"Freeze evaluator independence, evidence citation, and revision policy",CR-V2-B4-004: freeze-evaluator-independence-evidence-citation-and-revisi,8,1400,done,01561c9ff94ea4b171c601126f604bec3338d56a,
CR-V2-B4-005,4,S,true,CR-V2-B4-004,"Freeze the EditorialPlan, beat, take-score, reorder, and escalation schemas",CR-V2-B4-005: freeze-the-editorialplan-beat-take-score-reorder-and-escal,8,1400,done,29e2f17dc1b0c941d5bc92e402dac0f75019714f,
CR-V2-B4-006,4,S,true,CR-V2-B4-005,Freeze Book 4 benchmark/editorial lane ownership,CR-V2-B4-006: freeze-book-4-benchmark-editorial-lane-ownership,8,1400,done,96c296acfe822feec7d7be9dd5c396b137af99b8,
CR-V2-B4-007,4,P-A,false,CR-V2-B4-006,Implement word-boundary and speech-preservation evaluators,CR-V2-B4-007: implement-word-boundary-and-speech-preservation-evaluators,8,1400,done,23e083a51075dc3161d1a0fed2e7bbc040a9242e,
CR-V2-B4-008,4,P-A,false,CR-V2-B4-007,Implement audio-video sync and audio-preservation evaluators,CR-V2-B4-008: implement-audio-video-sync-and-audio-preservation-evaluato,8,1400,done,bd3413aeec214cf1e214946a4c2248e8b5f8f6c7,
CR-V2-B4-009,4,P-A,false,CR-V2-B4-008,"Implement visual preservation, crop stability, and collision evaluators",CR-V2-B4-009: implement-visual-preservation-crop-stability-and-collision,8,1400,done,81a07832018287cc3473924374f3e395d2e96cb0,
CR-V2-B4-010,4,P-A,false,CR-V2-B4-009,"Implement action atomicity, undo, crash, cache, and offline evaluators",CR-V2-B4-010: implement-action-atomicity-undo-crash-cache-and-offline-ev,8,1400,done,febf00e8f446852854f0ad7e3d68e880c786f6c9,
CR-V2-B4-011,4,P-A,false,CR-V2-B4-010,Implement editorial human-agreement metrics and benchmark runner,CR-V2-B4-011: implement-editorial-human-agreement-metrics-and-benchmark-,12,2400,done,c5c2ab44af5cb7b2b858c8078445373f3af70285,
CR-V2-B4-012,4,P-B,false,CR-V2-B4-006,Implement deterministic beat segmentation from transcript and evidence,CR-V2-B4-012: implement-deterministic-beat-segmentation-from-transcript-,8,1400,done,b770cd2eb012865a66399fcfcb3f179c905ecc24,
CR-V2-B4-013,4,P-B,false,CR-V2-B4-012,Implement duplicate-take and restatement clustering,CR-V2-B4-013: implement-duplicate-take-and-restatement-clustering,8,1400,done,092b434edbd96d77aa3ef891b02e2995ce763a69,
CR-V2-B4-014,4,P-B,false,CR-V2-B4-013,Implement evidence-backed take scoring and hard-fault disqualification,CR-V2-B4-014: implement-evidence-backed-take-scoring-and-hard-fault-disq,8,1400,done,55002c1958eb07b7391398070e66809adb416753,
CR-V2-B4-015,4,P-B,false,CR-V2-B4-014,"Implement contextual filler, false-start, slate, handling, and dead-air decisions",CR-V2-B4-015: implement-contextual-filler-false-start-slate-handling-and,8,1400,done,188ec7bd66e4ba31553cfde3036dcfdc27c8fa41,
CR-V2-B4-016,4,P-B,false,CR-V2-B4-015,Implement boundary consensus and word-safe segment compilation,CR-V2-B4-016: implement-boundary-consensus-and-word-safe-segment-compila,8,1400,done,8a4090018835ef63cbb09e8a04a9c807c21ea4fb,
CR-V2-B4-017,4,P-C,false,CR-V2-B4-006,Implement narrative arc templates and schema-bound Director requests,CR-V2-B4-017: implement-narrative-arc-templates-and-schema-bound-directo,8,1400,done,c1d309f9b41223a9af8d04836b795af162ee44de,
CR-V2-B4-018,4,P-C,false,CR-V2-B4-017,"Implement hook, payoff, CTA, and truthfulness-aware ordering",CR-V2-B4-018: implement-hook-payoff-cta-and-truthfulness-aware-ordering,8,1400,done,6d54e366c137bcbeeda693427f0430dfe1147794,
CR-V2-B4-019,4,P-C,false,CR-V2-B4-018,Implement semantic short-form candidate discovery and ranking,CR-V2-B4-019: implement-semantic-short-form-candidate-discovery-and-rank,8,1400,done,ce1b917d483e9f71c0ef9147597c6f969cdb2ecf,
CR-V2-B4-020,4,P-C,false,CR-V2-B4-019,"Implement confidence, ambiguity, escalation, and one-cycle reflection",CR-V2-B4-020: implement-confidence-ambiguity-escalation-and-one-cycle-re,8,1400,done,0a50d1e36e805281f4d0ef5373a40034ee961799,
CR-V2-B4-021,4,P-C,false,CR-V2-B4-020,Merge Book 4 lanes and implement the EditorialEngine façade,CR-V2-B4-021: merge-book-4-lanes-and-implement-the-editorialengine-fa-ad,8,1400,done,7200037d1102d4a59f72a41e0ba976834b5e2937,
CR-V2-B4-022,4,S,true,CR-V2-B4-011; CR-V2-B4-016; CR-V2-B4-021,"Compile natural, tight, long-form, and short variants through the action kernel",CR-V2-B4-022: compile-natural-tight-long-form-and-short-variants-through,8,1400,done,944a0d41715c42950787e84f1001ead860fde468,
CR-V2-B4-023,4,S,true,CR-V2-B4-022,Implement benchmark profiles that keep autonomy disabled until earned,CR-V2-B4-023: implement-benchmark-profiles-that-keep-autonomy-disabled-u,8,1400,done,fe265af6899c3395496009b8a1c79183e053d803,
CR-V2-B4-024,4,S,true,CR-V2-B4-023,Expose benchmark and editorial evidence read models to Studio,CR-V2-B4-024: expose-benchmark-and-editorial-evidence-read-models-to-stu,8,1400,done,c213d89c640498714839e0eaee2f558184ae3e54,
CR-V2-B4-025,4,S,true,CR-V2-B4-024,Run the first full v2 benchmark acceptance suite,CR-V2-B4-025: run-the-first-full-v2-benchmark-acceptance-suite,500,80000,done,b646d6f76356328755b1f4470562409732e0701e,
CR-V2-B4-026,4,S,true,CR-V2-B4-025,"Run focused editorial, evaluator, truthfulness, and preservation tests",CR-V2-B4-026: run-focused-editorial-evaluator-truthfulness-and-preservat,1,1200,done,fe82fd36abe913a94cb8acce5e8a99c917539303,
CR-V2-B4-027,4,S,true,CR-V2-B4-026,Run the authoritative Book 4 local gate and freeze benchmark evidence,CR-V2-B4-027: run-the-authoritative-book-4-local-gate-and-freeze-benchma,2,1500,done_multi,"edfdb79019f89f094679c61b36d7308b47b1636d,09ccce906c739ce9127654f3d4830e4fccc60c54",2 commits share task ID; see 4-027-duplicate-disposition.md or similar
CR-V2-B5-001,5,S,true,Book 4 final gate,Freeze the embedded creative skill execution contract,CR-V2-B5-001: freeze-the-embedded-creative-skill-execution-contract,8,1400,done,d9a627da40bbf892a6fee993d6330bd6872ca628,
CR-V2-B5-002,5,S,true,CR-V2-B5-001,"Freeze creative asset request, delivery, and acceptance schemas",CR-V2-B5-002: freeze-creative-asset-request-delivery-and-acceptance-sche,8,1400,done,877ebbfd10f27253cf8dba18eac6977f6177d4bf,
CR-V2-B5-003,5,S,true,CR-V2-B5-002,"Freeze BrandCard, BrandSystem, style direction, and bake-off schemas",CR-V2-B5-003: freeze-brandcard-brandsystem-style-direction-and-bake-off-,8,1400,done,1e6743d54b4570fd95036b90f233bafd7e91ff2d,
CR-V2-B5-004,5,S,true,CR-V2-B5-003,Freeze the native declarative render graph and effect DSL,CR-V2-B5-004: freeze-the-native-declarative-render-graph-and-effect-dsl,8,1400,done,713832acd02e5d812b74626418e8ecc2c79a1df7,
CR-V2-B5-005,5,S,true,CR-V2-B5-004,"Freeze creative critic, visual QA, and finish-lock semantics",CR-V2-B5-005: freeze-creative-critic-visual-qa-and-finish-lock-semantics,8,1400,done,6257a28955beaf0d81e7b04b2e8d75cdb7410576,
